car_id,detection_time,sensor,cubic_capacity,sighting_id
TILX0000637772,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000637965,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
CRDX0000015106,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6300.0,1239316
SHPX0000464408,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6224.0,1239316
TILX0000638204,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000639496,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000637448,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000638276,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
CRDX0000015026,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6300.0,1244863
SHPX0000464427,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6224.0,1244863
TILX0000637990,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000638189,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
SHPX0000464472,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6224.0,1244863
TILX0000639329,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
SHPX0000464415,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6224.0,1244863
CRDX0000015098,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6300.0,1244863
TILX0000638265,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000636262,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000637429,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000636264,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000642458,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000638244,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000639410,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000638561,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000639350,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
TILX0000650432,2024-01-22 04:00:10.765000+00:00,"Phelan, BC",6351.0,1244863
NCLX0000000262,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6245.0,1246912
NCIX0000008401,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6340.0,1246912
NCIX0000007810,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6400.0,1246912
NCIX0000008515,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6340.0,1246912
NCIX0000007415,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6400.0,1246912
NCIX0000007420,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6400.0,1246912
NCLX0000003174,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6400.0,1246912
NCLX0000000045,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6245.0,1246912
NCIX0000006692,2024-01-22 22:50:35.641000+00:00,"Phelan, BC",6400.0,1246912
TILX0000639489,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000638046,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637694,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000636101,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000638929,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000638673,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000464492,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
TILX0000637768,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637915,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637777,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000464439,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
SHPX0000464452,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
TILX0000637495,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000639515,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637931,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
CRDX0000015160,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000650402,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
CRDX0000015050,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6300.0,1249012
TILX0000637773,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637980,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000464478,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
TILX0000639491,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000464416,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
TILX0000636827,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000640537,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000638040,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000636215,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000650399,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637952,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000464421,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6224.0,1249012
TILX0000637307,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637975,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
CRDX0000015162,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637949,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
SHPX0000463872,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6201.0,1249012
TILX0000637983,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000638275,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637951,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
TILX0000637088,2024-01-23 18:02:51.825000+00:00,"Phelan, BC",6351.0,1249012
CRDX0000015529,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6310.0,1255183
CRDX0000015155,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
TILX0000637425,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
TILX0000638224,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
TILX0000640062,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
TILX0000640444,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
TILX0000641396,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6351.0,1255183
CRDX0000015096,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6300.0,1255183
CRDX0000015043,2024-01-25 21:52:07.390000+00:00,"Phelan, BC",6300.0,1255183
